"id","name","code","duration","type","theoriticalHour","practicalHour","selfstudyHour","prerequisiteCode"
"151","Văn hóa kinh doanh Nhật Bản","JAP3047","3","Khối kiến thức ngành bổ trợ","30","9","6",NULL
"152","Xử lý tiếng nói","INT3411","3","Khối kiến thức ngành","30","15",NULL,"INT2203"
"153","Xử lý ngôn ngữ tự nhiên","INT3406","3","Khối kiến thức ngành","45",NULL,NULL,"INT2203"
"154","Chương trình dịch","INT3402","3","Khối kiến thức ngành","45",NULL,NULL,"INT2203"
"155","Tích hợp dịch vụ","INT3223","3","Khối kiến thức ngành","30","15",NULL,"INT3202"
"156","Thông minh kinh doanh","INT3224","3","Khối kiến thức ngành","45",,NULL,"INT2207"
"157","Thực tập doanh nghiệp Nhật Bản","INT4003","3","Khối kiến thức ngành","3","42",NULL,"INT1003"
"158","Quản trị mạng","INT3310","3","Khối kiến thức ngành","30","15",NULL,"INT2213"
"159","Điện toán đám mây","INT3319","3","Khối kiến thức ngành","30","15",NULL,"INT1008"
"160","Đồ họa máy tính","INT3403","3","Khối kiến thức ngành","30","15",NULL,"INT2203"
"161","Lý thuyết thông tin","INT2044","3","Khối kiến thức ngành","45",NULL,NULL,"MAT1101"
"162","Chuyên đề Công nghệ","INT3141","3","Khối kiến thức ngành","30","15",NULL,"INT1003"
"163","Học máy","INT3405","3","Khối kiến thức ngành","45",NULL,NULL,"MAT1101"
"164","Rô-bốt","INT3409","3","Khối kiến thức ngành","30","15",NULL,"INT2203"
"165","Thị giác máy","INT3412","3","Khối kiến thức ngành","45",,NULL,"INT2203"
"166","Các vấn đề hiện đại trong KHMT","INT3011","3","Khối kiến thức ngành","21",,"24","INT1003"
"167","Ứng dụng di động cho điện toán đám mây","INT3122","3","Khối kiến thức ngành","45",,NULL,"INT2204"
"168","Cơ sở dữ liệu đa phương tiện","INT3222","3","Khối kiến thức ngành","45",,NULL,"INT2207"
"169","Các chuyên đề trong KHMT","INT3121","3","Khối kiến thức ngành","21",,"24","INT2203, INT1101"
